2.5,104628.7022192431
5.0,108541.44574869219
7.5,111797.4840528676
10.0,114476.1001469703
12.5,116650.37122335241
15.0,118402.3975972769
17.5,119801.5917037433
20.0,120914.80316761637
22.5,121794.92324370764
25.0,122489.7942486651
27.5,123035.73507243436
30.0,123464.80692363287
32.5,123800.58329290504
35.0,124063.7971017383
37.5,124269.24382431885
40.0,124430.07610433266
42.5,124555.38059891955
45.0,124653.42310273707
47.5,124729.6973110686
50.0,124789.38097446377
52.5,124835.75185982564
55.0,124872.05625718218
57.5,124900.22402766305
60.0,124922.29863572915
62.5,124939.3988153002
65.0,124952.81931129878
67.5,124963.19554420849
70.0,124971.35510983349
72.5,124977.64849242948
75.0,124982.61047007683
77.5,124986.42571421788
80.0,124989.44423584857
82.5,124991.75587764241
85.0,124993.59305855795
87.5,124994.99272069611
90.0,124996.1116552197
92.5,124996.95839627278
95.0,124997.64049339635
97.5,124998.15216770285
100.0,124998.56845517343
102.5,124998.87720411968
105.0,124999.13164856711
107.5,124999.31759588257
110.0,124999.47341839768
112.5,124999.58512621706
115.0,124999.68078772302
117.5,124999.74767305769
120.0,124999.80658495489
122.5,124999.84645499563
125.0,124999.8828786386
127.5,124999.90650293455
130.0,124999.92913425097
132.5,124999.94301835744
135.0,124999.9571663747
137.5,124999.96523399424
140.0,124999.97414519415
142.5,124999.97875799939
145.0,124999.98442170736
147.5,124999.98699735131
150.0,124999.99063575898
152.5,124999.99202217364
155.0,124999.99438866925
157.5,124999.99509059131
160.0,124999.99665153258
162.5,124999.9969674638
165.0,124999.9980130477
167.5,124999.99811795769
170.0,124999.99882993448
172.5,124999.99882511696
175.0,124999.99931821796
177.5,124999.99926128
180.0,124999.999608619
182.5,124999.99953146758
185.0,124999.9997801593
187.5,124999.99969974725
190.0,124999.99988054487
192.5,124999.99980525771
195.0,124999.99993852605
197.5,124999.99987195144
200.0,124999.99997138973
202.5,124999.99991452052
205.0,124999.9999894986
207.5,124999.99994200311
210.0,124999.9999990395
212.5,124999.9999599796
215.0,125000.00000368612
217.5,124999.99997191138
220.0,125000.00000560372
222.5,124999.99997995787
225.0,125000.00000605569
227.5,124999.99998547566
230.0,125000.00000576854
232.5,124999.99998932434
235.0,125000.0000051515
237.5,124999.99999205409
240.0,125000.00000442784
242.5,124999.99999402132
245.0,125000.00000371333
247.5,124999.99999546002
250.0,125000.00000306258
