10,114399.72293345281
20,120825.03346968057
30,123404.6073679466
40,124549.63750083245
50,124289.47617886162
60,125720.20270660767
70,122424.62394888652
80,130906.51671711028
90,109148.82132797383
100,160234.50690591737
110,12220.412422691443
120,172179.3676537267
130,-78674.6535144882
140,-178754.77278474186
150,-963393.9180428544
160,-19292255.431833267
170,-6867007608.556878
180,-864538130243411.0
190,-1.3702813277072535e+25
200,-3.442396681282448e+45
210,-2.1725174004058095e+86
220,-8.65302506762103e+167
