1984,19.43
1985,17.26
1986,15.54
1987,18.88
1988,16.33
1989,13.46
1990,10.19
1991,9.1
1992,8.41
1993,11.42
1994,10.54
1995,10.89
1996,9.84
1997,12.1
1998,9.94
1999,10.3
2000,8.56
2001,8.32
2002,8.4
2003,10.54
2004,11.66
2005,14.59
2006,20.79
2007,22.86
2008,16.69
2009,25.59
2010,45.45
2011,40.61
2012,42.43
2013,27.21
2014,22.12
2015,18.98
2016,21.54
2017,22.6
2018,20.09
2019,22.66
2020,32.96
2021,27.24
2022,26.26
2023,25.23
2024,29.76
2025,71.91
